year,WinOrLost,Abel Jesús Luque Aparcero,Adolfo Alberto Tirado Urbano,Adrián Maiquez Pérez,Aitor Santos Primo,Alberto Campos Álvarez,Alberto Jiménez Monteagudo,Alberto Jurado Caba,Alberto Álvarez Malavert,Alejandro Rodríguez Melchor,Alejandro Valero Pellicer,Alexis Jiménez Medina,Alexis de la Paz Marín,Alfonso García Hernández,Alfonso Palma Carmona,Alfredo Bayarri Roca,Alonso Bravo García,Andrés Armada Pozo,Andrés Gómez Vallecillo,Andrés Quiñonero Gabarrón,Antonio Cote Pérez,Antonio Fernando Tarriño Concejero,Antonio Javier Núñez Subirat,Antonio Javier Ocaña Oliva,Antonio Jesús González Reyes,Antonio Jesús Marfil Roca,Antonio José García Muñoz,Antonio José González Gómez,Antonio Joya Segura,Antonio Manuel González Gómez,Antonio Marín Coll,Antonio Molina Gil,Antonio Moreno Domínguez,Antonio Ocaña,Antonio Ortega Morales,Antonio Pastor Carpena,Antonio Rivas Sánchez,Antonio Serrano González,Antonio Sánchez Gómez,Antonio Trigueros de Dios,Antonio Vargas Quijada,Antonio Ángel Pérez Tavira,Armando Hernández Barranco,Arturo Pavón Jiménez,Axier Intxaurraga Mendia,Baldomero Hermoso Herrera,Bartolomé Bartolí Adrover,Bartolomé Plaza Muela,Benito Sánchez Postigo,Benjamín Rodríguez Antón,Bernardo Tapia Montiel,Borja Miguel Romero Ortiz,Carlos Américo Brizzola Carassus,Carlos Javier Fernández García,Carlos Manuel Andújar García,Carlos de la Villa Jiménez,Christian Cabrera Jantzen,Coradino de la Vega Guerrero,Cristian José Zárate,Cristóbal Iglesias López,Cristóbal Torres Simón,César Gallego Vázquez,Daniel González Sanz,Daniel Ignacio Murúa Burgos,Daniel Lucas Segovia,Daniel Roiz Múgica,Daniel Ávalos López,David Bermudo Rubio,David Parada Calvillo,David Pascual Roque,David Pino Gálvez,David Pérez Arteaga,David Sebastián Revuelta Díaz,David Vadillo,Demetrio Oliver Sánchez,Diego Alvarado Rodríguez,Diego Castillo Marchena,Diego Corrales Aragón,Diego Quintero Bueno,Domingo Solaegui Urquiri,Eduardo José Mena González,Eduardo Oliva Ruiz,Eduardo Puche,Egoitz Jaio Gabiola,Eladio Sáez Olmedo,Emilio José López Gallego,Emilio Terol Valls,Emilio Álvarez Blanco,Enrique Fernando Ortiz Moruno,Enrique Romero Gil,Ezequiel Gómez León,Fernando Abelenda Rosado,Fernando Esparza Aizkorbe,Fernando Galiano,Fernando Gallego Jiménez,Fernando José Fito González,Francisco Adolfo Ramos Trigo,Francisco Almenara Montoya,Francisco Fernández Caba,Francisco García Jaramillo,Francisco Gil Navarro,Francisco Heredia Fernández,Francisco Javier Amado Gutiérrez,Francisco Javier Espejo Ropero,Francisco Javier Fernández Luque,Francisco Javier Gómez Santos,Francisco Javier Huertas Sarmiento,Francisco Javier Navarro Benito,Francisco Javier Ortega Navarro,Francisco Javier Otero Fernández,Francisco Javier Parrado Paniagua,Francisco Javier Ramos Cívico,Francisco Javier Santos González,Francisco Javier Segundo Astorga,Francisco Javier Selma Cano,Francisco Jesús Flores Ramírez,Francisco José Domínguez Rodríguez,Francisco José Ortiz Ravira,Francisco José Toslada Arnedo,Francisco José Verdejo García,Francisco Martínez Caba,Francisco Pastor Ponce,Francisco Patrocinio Tinoco Expósito,Francisco Pérez Pérez,Francisco Salcedo Bernal,Francisco Saucedo Santos,Francisco Sáez Olmedo,Francisco Vidal Paz,Félix Ruiz Suárez,Gabriel Saavedra Olea,Galder Zubizarreta Villanueva,Gartzen Telletxea Goienetxea,Gonzalo Bonastre Fuster,Gonzalo Martínez Olivares,Gregorio Molina Gil,Gregorio de Pablos Lucas,Gustavo de la Parra Navarro,Hugo Alberto Vaca Beccarria,Idrissa Keita,Ignacio Rilo Morales,Isaac Jiménez González,Isaac Luis Chico,Iván Turrillo Caballero,Jacinto Cabrera Gijón,Javier Cuadra Borrego,Javier Fernández Sanz,Javier Recio Delgado,Javier Ventura Faulon,Jerónimo Rodríguez Villalba,Jesús Alfaro Ligero,Jesús María Ayala Sánchez,Jesús Romero Correa,Joaquim Devanir Ferreira do Carmo,Joaquín Muñoz Guardiola,Joaquín Oltra Abrego,Jonathan Ramírez Martínez,Jonás Borredat Fajardo,Jorge Barragán Argüez,Jorge Báez Aranda,Jorge Carracedo Carracedo,Jorge Monsalvete Herrera,Jorge Zafra Herrera,Jorge Zamora Gómez,José Acosta,José Adolfo López Menéndez,José Agustín Izquierdo Tena,José Alonso Daza Malia,José Antonio Asián Cardo,José Antonio Cortés Merino,José Antonio Linero Morante,José Antonio Mateos García,José Antonio Matute Urbano,José Baldón,José Carlos Martínez Vinuesa,José Carlos Rodríguez Valero,José Carlos Romero Infante,José Carlos Trasante Martínez,José David Cabello García,José Domingo Hernández Guanche,José Francisco Paz Muñoz,José Félix Romero García,José Gabriel García Ramírez,José Gallardo Reina,José Galán Barba,José Hidalgo Collado,José Ignacio García Sendín,José Joaquín Melgar García,José Leonardo Calabuig Cuartero,José Luis Batista Espino,José Luis Bocoya Gómez,José Luis Rico Jurado,José Luis Rondo Polo,José Luis Vergara Serón,José Luis de la Paz Marín,José Luis Álvarez Gómez,José Manuel Elgorriaga Álvarez,José Manuel Gutiérrez Mateo,José Manuel Ortiz Gómez,José Manuel Rodríguez Ortega,José Martínez Correa,José María Arana Triviño,José María Casasola Muñoz,José María Elorduy Trifol,José María García Morcillo,José María Gil Navarro,José María Jiménez Iglesias,José María León Cruz,José María Lorente Perea,José María Rodríguez Corbacho,José Ravira Moreno,Juan Antonio Belmonte Domínguez,Juan Antonio García León,Juan Antonio Muñoz Torres,Juan Carlos Ortiz Padilla,Juan Carlos Rebollo Tabero,Juan García Nieto,Juan Herrero Cabello,Juan Hoyos Villalta,Juan José Alfaro Ligero,Juan José Bautista Benítez,Juan José Cacheira Lucena,Juan José López Infantes,Juan José Sánchez Calvente,Juan José Sánchez Herrera,Juan Luis Guirado Aldeguer,Juan Luis Sánchez Fernández,Juan López Hita,Juan Manuel Barba Ramos,Juan Manuel González Lima,Juan Manuel Pavón Domínguez,Juan Manuel Rodríguez Domínguez,Juan Pablo Ruiz Pérez,Juan Pablo Vojvoda Rizzo,Juan Pedro Rico Domínguez,Juan Sergio Arrue Gude,Julio Cabello Martín,Julio Cabello Ortega,Julio César Capretta,Julio José Iglesias Rouget,Julio Silverio Córdoba,Laureano Echevarría Perales,Lewis Evoung,Liam Walker,Liert Rosa Balsera da Silva,Limamou Mbengue Lima,Lucas Álvarez Vílchez,Luis Alonso Cebada,Luis Castillo Cantillo,Luis Francisco Tonelotto,Luis García Tevenet,Luis Ignacio Urbiola Chivite,Luis Jiménez Peces,Luis José Fernández Neto,Luis María Merayo Delgado,Luis San Julián Rodrigo,Manuel Barreiro Bustelo,Manuel Calvente Uceda,Manuel Camargo Plaza,Manuel Capa Palacios,Manuel García Hernández,Manuel García Montes,Manuel Gutiérrez Serrano,Manuel Herrera Guerrero,Manuel Ildefonso Ximénez de Cisneros Rebollo,Manuel Jesús Maderal Villa,Manuel Jesús Quintero Acuña,Manuel Jiménez Páez,Manuel López Fermín,Manuel Martínez Pérez,Manuel Pimentel,Manuel Pineda Caro,Manuel Pérez Jiménez,Manuel Requena Mulero,Manuel Rodríguez Sotomayor,Manuel Ángel Esteban,Marcelino Turrillo Monte de Oca,Marcos Sequeiros Estévez,Mariano Andrés Armentano Lepera,Mariano Suárez López,Mario Blanco Rodríguez,Mario González Ruiz,Mario Pérez Rojo,Mateo Benítez de Gregorio,Miguel Gallego Domínguez,Miguel Gregori Morell,Miguel Loza Gallego,Miguel María Intxausti Pérez,Miguel Ortiz,Miguel Rodríguez Sotomayor,Miguel Sánchez Rull,Miguel Tirado Martín,Miguel Ángel Berlanga Rodríguez,Miguel Ángel Burrezo Quintero,Miguel Ángel Espínola Jiménez,Nemesio Alonso Álvarez,Nicolás Alejandro Chietino,Noel Antonio Ruiz Álvarez,Noé Calleja García,Pablo Sánchez Rodríguez,Pablo de Castro Pecino,Pablo de la Torre Rojas,Pedro Almenara Montoya,Pedro Belmonte Rincón,Pedro Muñoz Molina,Pedro Núñez López,Pedro Valencia Carballo,Rafael Berenguer Soriano,Rafael Guillén Castañeda,Rafael José Platero Galiano,Rafael Rodríguez Gómez,Rafael Tovar Gómez,Raúl Osvaldo Castronovo Zanón,Raúl Pichardo Hernández,Raúl Pro Villanueva,Ricardo Muruzábal Viteri,Ricardo Ruiz González,Roberto Iván Agustín Suárez,Roberto Rodolfo Romero Sebastianelli,Rubén Borrallo Real,Rubén Epitié-Dyowe Roig,Ryan Harper,Salvador Asencio Prieto,Salvador Asensio Ruiz,Santiago Mina Vallespín,Sergio Luque Márquez,Sergio Rengifo Navarro,Sotero López Clemente,Unai Gutiérrez Albizu,Vicente Gómez Mira,Vincent Samways,Víctor Manuel González Jiménez,Xavier Morón Rodríguez,Zuhaitz Gurrutxaga Loiola,aballero,afa II,afael,amacho,apa,arcelino,ateos,aúl,aúl Molina,drián,ebastián,ecino,enítez,ernández,eón,glesias,hano,illán,itjans,lba,nan,ntonio,odino,olaz,oni,oreno,ortés,oza,paricio,rancisco,rellana,rtega,uerrero,vila,zco,Álvaro Benítez Huelva,Álvaro García Sena,Ángel Nieto Jurado,Ángel Rivera Monedero,Ángel Rivera Rodríguez,Ángel Román Corchado,Ángel Sáez Olmedo,Óscar Céspedes Cabeza
2005,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2005,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2005,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2005,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2005,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
